lat,lon,time,spatial_ref,precipitation
32.55,-124.25,2023-01-01 00:00:00,0,0.0
32.55,-124.149994,2023-01-01 00:00:00,0,0.0
32.55,-124.049995,2023-01-01 00:00:00,0,0.0
32.55,-123.95,2023-01-01 00:00:00,0,0.0
32.55,-123.85,2023-01-01 00:00:00,0,0.0
32.55,-123.75,2023-01-01 00:00:00,0,0.0
32.55,-123.649994,2023-01-01 00:00:00,0,0.0
32.55,-123.549995,2023-01-01 00:00:00,0,0.0
32.55,-123.45,2023-01-01 00:00:00,0,0.0
32.55,-123.35,2023-01-01 00:00:00,0,0.0
32.55,-123.25,2023-01-01 00:00:00,0,0.0
32.55,-123.149994,2023-01-01 00:00:00,0,0.0
32.55,-123.049995,2023-01-01 00:00:00,0,0.0
32.55,-122.95,2023-01-01 00:00:00,0,0.0
32.55,-122.85,2023-01-01 00:00:00,0,0.0
32.55,-122.75,2023-01-01 00:00:00,0,0.0
32.55,-122.649994,2023-01-01 00:00:00,0,0.0
32.55,-122.549995,2023-01-01 00:00:00,0,0.0
32.55,-122.45,2023-01-01 00:00:00,0,0.0
32.55,-122.35,2023-01-01 00:00:00,0,0.0
32.55,-122.25,2023-01-01 00:00:00,0,0.0
32.55,-122.149994,2023-01-01 00:00:00,0,0.0
32.55,-122.049995,2023-01-01 00:00:00,0,0.0
32.55,-121.95,2023-01-01 00:00:00,0,0.0
32.55,-121.85,2023-01-01 00:00:00,0,0.0
32.55,-121.75,2023-01-01 00:00:00,0,0.0
32.55,-121.649994,2023-01-01 00:00:00,0,0.0
32.55,-121.549995,2023-01-01 00:00:00,0,0.0
32.55,-121.45,2023-01-01 00:00:00,0,0.0
32.55,-121.35,2023-01-01 00:00:00,0,0.0
32.55,-121.25,2023-01-01 00:00:00,0,0.0
32.55,-121.149994,2023-01-01 00:00:00,0,0.0
32.55,-121.049995,2023-01-01 00:00:00,0,0.0
32.55,-120.95,2023-01-01 00:00:00,0,0.0
32.55,-120.85,2023-01-01 00:00:00,0,0.0
32.55,-120.75,2023-01-01 00:00:00,0,0.0
32.55,-120.649994,2023-01-01 00:00:00,0,0.0
32.55,-120.549995,2023-01-01 00:00:00,0,0.0
32.55,-120.45,2023-01-01 00:00:00,0,0.0
32.55,-120.35,2023-01-01 00:00:00,0,0.0
32.55,-120.25,2023-01-01 00:00:00,0,0.0
32.55,-120.149994,2023-01-01 00:00:00,0,0.0
32.55,-120.049995,2023-01-01 00:00:00,0,0.0
32.55,-119.95,2023-01-01 00:00:00,0,0.0
32.55,-119.85,2023-01-01 00:00:00,0,0.0
32.55,-119.75,2023-01-01 00:00:00,0,0.0
32.55,-119.649994,2023-01-01 00:00:00,0,0.0
32.55,-119.549995,2023-01-01 00:00:00,0,0.0
32.55,-119.45,2023-01-01 00:00:00,0,0.0
32.55,-119.35,2023-01-01 00:00:00,0,0.0
32.55,-119.25,2023-01-01 00:00:00,0,0.0
32.55,-119.149994,2023-01-01 00:00:00,0,0.0
32.55,-119.049995,2023-01-01 00:00:00,0,0.0
32.55,-118.95,2023-01-01 00:00:00,0,0.0
32.55,-118.85,2023-01-01 00:00:00,0,0.0
32.55,-118.75,2023-01-01 00:00:00,0,0.0
32.55,-118.649994,2023-01-01 00:00:00,0,0.0
32.55,-118.549995,2023-01-01 00:00:00,0,0.0
32.55,-118.45,2023-01-01 00:00:00,0,0.0
32.55,-118.35,2023-01-01 00:00:00,0,0.0
32.55,-118.25,2023-01-01 00:00:00,0,0.0
32.55,-118.149994,2023-01-01 00:00:00,0,0.0
32.55,-118.049995,2023-01-01 00:00:00,0,0.0
32.55,-117.95,2023-01-01 00:00:00,0,0.0
32.55,-117.85,2023-01-01 00:00:00,0,0.0
32.55,-117.75,2023-01-01 00:00:00,0,0.0
32.55,-117.649994,2023-01-01 00:00:00,0,0.0
32.55,-117.549995,2023-01-01 00:00:00,0,0.0
32.55,-117.45,2023-01-01 00:00:00,0,0.0
32.55,-117.35,2023-01-01 00:00:00,0,0.0
32.55,-117.25,2023-01-01 00:00:00,0,0.0
32.55,-117.149994,2023-01-01 00:00:00,0,0.0
32.55,-117.049995,2023-01-01 00:00:00,0,0.179
32.55,-116.95,2023-01-01 00:00:00,0,0.17600001
32.55,-116.85,2023-01-01 00:00:00,0,0.0
32.55,-116.75,2023-01-01 00:00:00,0,0.0
32.55,-116.649994,2023-01-01 00:00:00,0,0.0
32.55,-116.549995,2023-01-01 00:00:00,0,0.0
32.55,-116.45,2023-01-01 00:00:00,0,0.0
32.55,-116.35,2023-01-01 00:00:00,0,0.0
32.55,-116.25,2023-01-01 00:00:00,0,0.0
32.55,-116.149994,2023-01-01 00:00:00,0,0.0
32.55,-116.049995,2023-01-01 00:00:00,0,0.0
32.55,-115.95,2023-01-01 00:00:00,0,0.0
32.55,-115.85,2023-01-01 00:00:00,0,0.0
32.55,-115.75,2023-01-01 00:00:00,0,0.0
32.55,-115.649994,2023-01-01 00:00:00,0,0.0
32.55,-115.549995,2023-01-01 00:00:00,0,0.0
32.55,-115.45,2023-01-01 00:00:00,0,0.0
32.55,-115.35,2023-01-01 00:00:00,0,0.0
32.55,-115.25,2023-01-01 00:00:00,0,0.0
